"zTable_ID","TableName","foreignName","tblLetter","mod","submodule","TableSummary","TableDescription","TableReqd","TablesInVB","TableAutoGen","tableQuestions","tableExpertise","children","tableNickName","MaxPK","MinImportPK","ImportOrder","LinkedTo","FileLocation","ImportFromTable","NumberOfRecs","UserReq","UserDone","MaxPKOnConnect","MaxPKb4Migr","minPKb4Migr","countRecb4Migr","ExportTbl","ERDX","ERDY","calc_N","calc_E","calc_S","calc_W","ERDtblcolor","ERDLoadColor","origERDx","origERDy","tableIcon","pageDisplay"
1737,"taxonObservation","taxonObservation",,"vegbank","vegplot","This table contains the author`s determination of a taxon and the overall cover of that taxon.","This table stores information about the original identification by the author of the plot and the taxonomic authority used by that author (i.e. a name - citation pair constituting a taxonomic concept).  The table also contains a record of cumulative cover (cover across all strata) of the taxon when not divided into strata.",,,,,,,,,,40.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,7.20,1.58,2493,20930,4010,18830,5,5,7.00,2.00,,
1738,"telephone","telephone",,"vegbank","vegplot","Telephone numbers for the various individuals and organizations in the party table.",,,,,,,,,,,5.30,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,3.75,10.04,20336,10925,21431,8825,9,9,1.55,9.00,,
1739,"userDefined","userDefined",,"vegbank","vegplot","This table contains the definitions of user-defined variables.  The table structure stems from desire to keep the user-defined variables separate from the main body of the database.","This table contains the definitions of user-defined variables.  The table structure stems from desire to keep the user-defined variables separate from the main body of the database.",,,,,,,,,,60.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,1.00,6.00,11805,2950,13533,850,8,8,1.00,6.00,,
1792,"taxonAlt","taxonAlt",,"vegbank","vegplot","This table shows alternate taxa that are to be grouped for a  taxonInterpretation.","When this table is used, the taxonInterpretation that is referenced here is interpreting the taxonObservation as the combination of all plantConcepts referenced in this table with the same taxonInterpretation_ID.  TaxonInterpretation.groupType shows what type of group this is (one of, union, unknown).",,,,,,,,,,46.00,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,,8.00,2.10,3576,23250,5093,21150,5,5,8.00,2.00,,
1799,"FieldList","FieldList",,"VB_closed",,"Values for lists which fields may be constrained to.","Values for lists which fields may be constrained to.",,,,,,,,,,,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1800,"embargo","embargo",,"vegbank","vegplot","Embargo of plot data.",,,,,,,,,,,25.50,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,0,1.71,3.14,5782,5021,7299,2921,7,6,1.80,10.00,,
1801,"taxonImportance","taxonImportance",,"vegbank","vegplot","This table stores information about the importance (i.e. cover, basal area, biomass) of each taxon observed on a plot.  Records may be limited to one stratum or apply to all strata.",,,,,,,,,,,41.50,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,0,5.85,1.78,2901,17015,4629,14915,5,5,6.00,2.00,,
1802,"partyMember","partyMember",,"vegbank","vegplot","Allows parties to contain other parties within them, so that the children parties can have permissions of the parent parties.",,,,,,,,,,,5.15,"C:\vegbank\sandbox\vegbranch_dev\VegBank_Module_full_noplots_upd2.mdb","C:\temp\exampleFile.csv",,0,,0,,0,0,0,0,2.57,8.90,17944,7507,19461,5407,9,9,2.50,9.00,,
1803,"Z_USER_C2_PlotNorm",,"C2","Loading",,"This table contains normalized information about plot data, specifically: contributors, stratum definitions, and place names.","This table should be used if denormalizations in the Plot Data table are too limiting.  VegBranch will normally create this table from the data in Plot Data, but this table can be loaded to directly, as well.  There are three different groups of data in this table.  It does not matter if they occur on the same record or on different records  Fields within the same group do reference each other.  The groups are:
(contrib, role); (placeName, placeSystem); (stratumIndex, stratumBase, stratumHeight, stratumCover)","Not required.  If you have more than 9 strata per plot, or 5 contributors per plot, or more than the standard placenames, you will have to use this table.","stratum, place, observationContributor","VegBranch can generate this table from your Plot Data table. You can add to this table afterwards, as well.","Do you have more than 5 observation contributors, 5 place names, or 9 strata, per plot?
Do you have place names of different systems that allowed for in Plot Data?","advanced",,"Plot Normalized",,,52.50,,"C:\temp\exampleFile.csv",,0,,0,,0,0,0,,10.00,10.00,20245,29050,22606,26950,0,6,10.00,10.00,,1
1804,"cust_NPS_plots","plots",,"NPS-PLOTS db",,"this is NPS-PLOTS database plots table",,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1805,"cust_NPS_plots-species","plots-species",,"NPS-PLOTS db",,"This is NPS-PLOTS database plots-species table",,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1815,"misc_SQL_2AccTypes",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1816,"temp_plantNameDel",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1817,"misc_compare",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1818,"temp_plantNameConvert",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1819,"misc_autoTemp",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1822,"temp_comm_keep",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1823,"temp_fieldsByUseType_newfield",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1824,"temp_plant_keep",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1825,"temp_PlantConcKeep",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1826,"Z_ActualFields",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1827,"z_Field_relseg_ERD",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1828,"Z_Table_ERD_color",,,"dev",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1829,"ent_defaultValues",,,"notdone",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1830,"Z_Failed_Plots",,,"notdone",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1831,"ent_temp_taxonImp_Int_Obs",,,"notdone",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1832,"vegTaxaClientSummary",,,"notdone",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1833,"Y_ProjContrib",,,"notdone",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1834,"Y_Translate_anyField",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1835,"import_xml_data",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1836,"Z_H_PriorityConceptLookup",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1837,"Z_B_VB_LookupNms",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1838,"Z_B_PriorityConceptLookup",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1839,"basicImp_temp_data",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1840,"Z_H_VB_LookupNms",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1841,"rank_tables_gui",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1842,"import_xml_PKht",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1843,"W_Convert_CSVColNames",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1844,"FormsPrevView",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1845,"FieldsToConvertUsr",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1846,"Default_metaData2",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1848,"Y_OptionsStored",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1849,"Z_VB_reconcile",,,"userData",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1850,"fixNamedPlaces",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1851,"LoadingStatus",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1852,"erdImg",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1853,"Z_TableDescription",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1854,"Z_MigrationStatInfo",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1855,"Z_LoadingGroups",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1856,"formsPrevViewSelect",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1857,"w_customFormats",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1858,"Y_MoveData",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1859,"Y_dataTranslate_src",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1860,"Y_dataChk_SQL",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1861,"xampleData",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1862,"x_documentation",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1863,"x_accessionCode_maintain",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1864,"Z_FormDescription",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1865,"Z_VB_reconcile_FldsChoose",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1866,"Y_Version",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1867,"rank_tables",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1868,"OneNullRec",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1869,"Z_FieldDescription",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1870,"x_accessionInfo",,,"vegbrSys",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1871,"W_BrowsedFiles",,,"vegbrTemp",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1872,"z_exec",,,"vegbrTemp",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1873,"Z_C2_placesCache",,,"vegbrTemp",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1874,"Y_ClosedListErr",,,"vegbrTemp",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1875,"Z_MigrationStats",,,"vegbrTemp",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1876,"Y_transl_AuthPlot_ObsCode",,,"vegbrTemp",,,,,,,,,,,,,,,"C:\temp\exampleFile.csv",,0,,0,,,,,0,,,,,,,,,,,,
1877,"Z_USER_E2_stemClasses",,"E2","Loading",,"Stem data in size classes and DBH lists","Stem Data arranged in size classes (tally the number of stems in each class) and/or lists of stem DBH's (values separated by commas)","Not required.","stemCount","no","Did you use stem size classes to count stems or have lists of stem DBH's?","basic",,"Stem Classes",,,55.50,,"C:\temp\exampleFile.csv",,0,,0,,0,0,0,0,,,,,,,,,,,,2
